ID,model,repeat,premise,hypothesis,error,baseline_KB,additive_verbs_KB,all_verbs_KB,context_pos_KB,additive_pos_KB,fixed_reference_column,fixed_reference_KB
4820830153.jpg#0r1e,google/gemma-3-4b-it,2,A local street in an Arabic country where there is a market selling Coca-Cola.,A market is selling soft drinks in an Arabic country.,,"isa_wn(market, place); isa_wn(selling, trade); isa_wn(Coca-Cola, soft drink); isa_wn(Arabic country, country)","isa_wn(market, place); isa_wn(selling, trade); isa_wn(Coca-Cola, soft drink); isa_wn(Arabic country, country); isa_wn(sell, trade)","isa_wn(market, place); isa_wn(sell, trade); isa_wn(coca-cola, soft drink); isa_wn(arabic country, country)","isa_wn(market, place); isa_wn(sell, trade); isa_wn(coca-cola, soft drink); isa_wn(arabic country, country)","isa_wn(market, place); isa_wn(selling, trade); isa_wn(Coca-Cola, soft drink); isa_wn(Arabic country, country); isa_wn(sell, trade)",Stefan_KB,"(coca-cola, soft drink)"
4833879670.jpg#0r1e,google/gemma-3-4b-it,2,"A man is standing on the sidewalk, playing a guitar and singing, with a container of tips by him.",A man is performing outside.,,"isa_wn(standing, perform); isa_wn(sidewalk, outside)","isa_wn(standing, perform); isa_wn(sidewalk, outside); isa_wn(stand, perform)","isa_wn(stand, perform); isa_wn(sidewalk, outside)","isa_wn(stand, perform); isa_wn(sidewalk, outside)","isa_wn(standing, perform); isa_wn(sidewalk, outside); isa_wn(stand, perform)",Stefan_KB,"(sidewalk, outside)"
4851047049.jpg#3r1e,google/gemma-3-4b-it,2,A man playing a guitar while a woman in a checks the oven.,A man plays an instrument.,,"isa_wn(man, person); isa_wn(playing, play); isa_wn(guitar, instrument)","isa_wn(man, person); isa_wn(playing, play); isa_wn(guitar, instrument); isa_wn(play, play)","isa_wn(man, person); isa_wn(play, play); isa_wn(guitar, instrument)","isa_wn(man, person); isa_wn(play, play); isa_wn(guitar, instrument)","isa_wn(man, person); isa_wn(playing, play); isa_wn(guitar, instrument); isa_wn(play, play)",Stefan_KB,"(guitar, instrument)"
4876043682.jpg#2r1e,google/gemma-3-4b-it,2,A boy rides on a camel in a crowded area while talking on his cellphone.,A boy is riding an animal.,,"isa_wn(boy, person); isa_wn(rides, move); isa_wn(camel, animal)","isa_wn(boy, person); isa_wn(rides, move); isa_wn(camel, animal); isa_wn(rid, move)","isa_wn(boy, person); isa_wn(rid, move); isa_wn(camel, animal)","isa_wn(boy, person); isa_wn(rid, move); isa_wn(camel, animal)","isa_wn(boy, person); isa_wn(rides, move); isa_wn(camel, animal); isa_wn(rid, move)",Lasha_KB,"(camel, animal)"
4887879873.jpg#2r1e,google/gemma-3-4b-it,2,A man wearing a black jacket stands next to a body of water.,A person is outside near some water.,,"isa_wn(man, person); isa_wn(wearing a black jacket, wearing); isa_wn(stands, is)","isa_wn(man, person); isa_wn(wearing a black jacket, wearing); isa_wn(stands, is); isa_wn(wear a black jacket, wear); isa_wn(stand, be)","isa_wn(man, person); isa_wn(wear a black jacket, wear); isa_wn(stand, be)","isa_wn(man, person); isa_wn(wear a black jacket, wearing); isa_wn(stand, be)","isa_wn(man, person); isa_wn(wearing a black jacket, wearing); isa_wn(stands, is); isa_wn(wear a black jacket, wearing); isa_wn(stand, be)",Stefan_KB,"(man, person)"
489,google/gemma-3-4b-it,2,There is no dog playing with a red ball,Two daschunds are playing with a red ball,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,"(daschund, dog)"
4894267064.jpg#3r1e,google/gemma-3-4b-it,2,2 woman walking down the street next to graffiti,The woman are by grafitti.,,"isa_wn(woman, person); isa_wn(walking, move)","isa_wn(woman, person); isa_wn(walking, move); isa_wn(walk, move)","isa_wn(woman, person); isa_wn(walk, move)","isa_wn(woman, person); isa_wn(walk, move)","isa_wn(woman, person); isa_wn(walking, move); isa_wn(walk, move)",Stefan_KB,NO_RELATION
4909669888.jpg#2r1e,google/gemma-3-4b-it,2,A Black woman on the street is talking on her cellphone.,A black woman is on her phone.,,"isa_wn(cellphone, phone); isa_wn(black woman, black woman)","isa_wn(cellphone, phone); isa_wn(black woman, black woman)","isa_wn(cellphone, phone); isa_wn(black woman, black woman)","isa_wn(cellphone, phone); isa_wn(black woman, black woman)","isa_wn(cellphone, phone); isa_wn(black woman, black woman)",Stefan_KB,"(cellphone, phone)"
4915658588.jpg#4r1e,google/gemma-3-4b-it,2,Three people wearing black chatting on a street corner.,Three people are talking outside.,,"isa_wn(chatting, talking); isa_wn(street corner, outside)","isa_wn(chatting, talking); isa_wn(street corner, outside); isa_wn(chat, talk)","isa_wn(chat, talk); isa_wn(street corner, outside)","isa_wn(chat, talk); isa_wn(street corner, outside)","isa_wn(chatting, talking); isa_wn(street corner, outside); isa_wn(chat, talk)",Stefan_KB,"(chat, talk); (street corner, outside)"
4916,google/gemma-3-4b-it,2,A man is singing and playing a guitar,A man is singing and playing a musical instrument,,"isa_wn(guitar, musical instrument)","isa_wn(guitar, musical instrument)","isa_wn(guitar, musical instrument)","isa_wn(guitar, musical instrument)","isa_wn(guitar, musical instrument)",Stefan_KB,"(guitar, musical instrument)"
4929903531.jpg#1r1e,google/gemma-3-4b-it,2,A child is looking at some colorful dresses.,A person is looking at some colorful dresses.,,"isa_wn(child, person)","isa_wn(child, person)","isa_wn(child, person)","isa_wn(child, person)","isa_wn(child, person)",Lasha_KB,"(child, person)"
493507605.jpg#2r1e,google/gemma-3-4b-it,2,Two black dogs run along the green grass.,Two dogs run along the lawn.,,"isa_wn(dog, canine); isa_wn(black, colored); isa_wn(grass, lawn)","isa_wn(dog, canine); isa_wn(black, colored); isa_wn(grass, lawn); isa_wn(black, color)","isa_wn(dog, canine); isa_wn(black, color); isa_wn(grass, lawn)","isa_wn(dog, canine); isa_wn(black, colored); isa_wn(grass, lawn)","isa_wn(dog, canine); isa_wn(black, colored); isa_wn(grass, lawn)",Lasha_KB,"(grass, lawn)"
4935241932.jpg#3r1e,google/gemma-3-4b-it,2,A green bike is parked next to a door.,The bike is outside.,,"isa_wn(bike, vehicle); isa_wn(parked, outside)","isa_wn(bike, vehicle); isa_wn(parked, outside); isa_wn(park, outside)","isa_wn(bike, vehicle); isa_wn(park, outside)","isa_wn(bike, vehicle); isa_wn(park, outside)","isa_wn(bike, vehicle); isa_wn(parked, outside); isa_wn(park, outside)",Stefan_KB,NO_RELATION
4938897545.jpg#4r1e,google/gemma-3-4b-it,2,A motorcycle rider is making a sharp turn.,The motorcyclist is turning.,,"isa_wn(motorcycle rider, motorcyclist); isa_wn(making a sharp turn, turning)","isa_wn(motorcycle rider, motorcyclist); isa_wn(making a sharp turn, turning); isa_wn(make a sharp turn, turn)","isa_wn(motorcycle rider, motorcyclist); isa_wn(make a sharp turn, turn)","isa_wn(motorcycle rider, motorcyclist); isa_wn(make a sharp turn, turn)","isa_wn(motorcycle rider, motorcyclist); isa_wn(making a sharp turn, turning); isa_wn(make a sharp turn, turn)",Stefan_KB,"(motorcycle rider, motorcyclist)"
4950416860.jpg#3r1e,google/gemma-3-4b-it,2,A man in a canoe throwing a yellow net into the water.,A man is in a boat,,"isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)",Stefan_KB,"(canoe, boat)"
4972,google/gemma-3-4b-it,2,An onion is being chopped,An onion is being sliced,,"isa_wn(chopped, sliced)","isa_wn(chopped, sliced); isa_wn(chop, slice)","isa_wn(chop, slice)","isa_wn(chop, slice)","isa_wn(chopped, sliced); isa_wn(chop, slice)",Stefan_KB,"(chop, slice)"
4974,google/gemma-3-4b-it,2,Someone is holding a hedgehog,Someone is holding a small animal,,"isa_wn(hedgehog, small animal)","isa_wn(hedgehog, small animal)","isa_wn(hedgehog, small animal)","isa_wn(hedgehog, small animal)","isa_wn(hedgehog, small animal)",Lasha_KB,"(hedgehog, small animal)"
4979886037.jpg#3r1e,google/gemma-3-4b-it,2,A smiling costumed woman is holding an umbrella.,A happy woman holds an umbrella.,,"isa_wn(smiling, happy)","isa_wn(smiling, happy); isa_wn(smile, happy)","isa_wn(smile, happy)","isa_wn(smiling, happy)","isa_wn(smiling, happy)",Stefan_KB,"(smiling, happy)"
4980505768.jpg#1r1e,google/gemma-3-4b-it,2,A woman dressed as Snow White walks with other girls in costume down a street.,A woman is dressed as a fairy tale character.,,"isa_wn(woman, fairy tale character)","isa_wn(woman, fairy tale character)","isa_wn(woman, fairy tale character)","isa_wn(woman, fairy tale character)","isa_wn(woman, fairy tale character)",Stefan_KB,"(snow white, fairy tale character)"
4985197970.jpg#0r1e,google/gemma-3-4b-it,2,"A sunny street with a red building, parked cars, and a man walking down the road.",The sun is shining.,,"isa_wn(sunny, bright); isa_wn(sun, shine)","isa_wn(sunny, bright); isa_wn(sun, shine)","isa_wn(sunny, bright); isa_wn(sun, shine)","isa_wn(sunny, bright); isa_wn(sun, shine)","isa_wn(sunny, bright); isa_wn(sun, shine)",Stefan_KB,NO_RELATION
4985197970.jpg#3r1e,google/gemma-3-4b-it,2,A person is walking down a cobblestone street.,The cobblestone street is not empty.,,"isa_wn(walking, move); isa_wn(street, road)","isa_wn(walking, move); isa_wn(street, road); isa_wn(walk, move)","isa_wn(walk, move); isa_wn(street, road)","isa_wn(walk, move); isa_wn(street, road)","isa_wn(walking, move); isa_wn(street, road); isa_wn(walk, move)",Stefan_KB,NO_RELATION
501699433.jpg#0r1e,google/gemma-3-4b-it,2,Two boys are swimming underwater in a pool and a girl is swimming in the background.,There are some kids in this picture,,"isa_wn(boy, child); isa_wn(two, some)","isa_wn(boy, child); isa_wn(two, some)","isa_wn(boy, child); isa_wn(two, some)","isa_wn(boy, child); isa_wn(two, some)","isa_wn(boy, child); isa_wn(two, some)",Jorryt_KB,"(boy, kid)"
5030,google/gemma-3-4b-it,2,The man is talking on the telephone,The man is speaking on the telephone,,"isa_wn(talking, speaking)","isa_wn(talking, speaking); isa_wn(talk, speak)","isa_wn(talk, speak)","isa_wn(talk, speak)","isa_wn(talking, speaking); isa_wn(talk, speak)",Stefan_KB,"(talk, speak)"
5042057368.jpg#3r1e,google/gemma-3-4b-it,2,Old woman chasing away two lambs with a broom.,There is a woman and some animals.,,"isa_wn(woman, person); isa_wn(lambs, animal)","isa_wn(woman, person); isa_wn(lambs, animal); isa_wn(lamb, animal)","isa_wn(woman, person); isa_wn(lamb, animal)","isa_wn(woman, person); isa_wn(lamb, animal)","isa_wn(woman, person); isa_wn(lambs, animal); isa_wn(lamb, animal)",Lasha_KB,"(lamb, animal)"
506442755.jpg#3r1e,google/gemma-3-4b-it,2,bicycles stationed while a group of people socialize.,People get together near a stand of bicycles.,,"isa_wn(bicycles, stand); isa_wn(people, group of people); isa_wn(socialize, get together)","isa_wn(bicycles, stand); isa_wn(people, group of people); isa_wn(socialize, get together); isa_wn(bicycle, stand)","isa_wn(bicycle, stand); isa_wn(people, group of people); isa_wn(socialize, get together)","isa_wn(bicycle, stand); isa_wn(people, group of people); isa_wn(socialize, get together)","isa_wn(bicycles, stand); isa_wn(people, group of people); isa_wn(socialize, get together); isa_wn(bicycle, stand)",Stefan_KB,"(socialize, get together)"
507035997.jpg#2r1e,google/gemma-3-4b-it,2,A man cooking kabobs on a barbecue in his backyard.,The man is have a cookout.,,"isa_wn(cooking, have a cookout)","isa_wn(cooking, have a cookout); isa_wn(cook, have a cookout)","isa_wn(cook, have a cookout)","isa_wn(cook, have a cookout)","isa_wn(cooking, have a cookout); isa_wn(cook, have a cookout)",Stefan_KB,NO_RELATION
507746329.jpg#3r1e,google/gemma-3-4b-it,2,Six children splashing in an outdoor water park.,Kids are wet.,,"isa_wn(child, kid); isa_wn(splash, wet)","isa_wn(child, kid); isa_wn(splash, wet)","isa_wn(child, kid); isa_wn(splash, wet)","isa_wn(child, kid); isa_wn(splash, wet)","isa_wn(child, kid); isa_wn(splash, wet)",Ettore_KB,"(child, kid); (splash, wet)"
5110,google/gemma-3-4b-it,2,A chef is preparing some food,A chef is preparing a meal,,"isa_wn(preparing, prepare); isa_wn(food, meal)","isa_wn(preparing, prepare); isa_wn(food, meal); isa_wn(prepare, prepare)","isa_wn(prepare, prepare); isa_wn(food, meal)","isa_wn(prepare, prepare); isa_wn(food, meal)","isa_wn(preparing, prepare); isa_wn(food, meal); isa_wn(prepare, prepare)",Stefan_KB,"(food, meal)"
5113,google/gemma-3-4b-it,2,Two sumo ringers are fighting,Two sumo wrestlers are fighting,,"isa_wn(sumo ringer, sumo wrestler)","isa_wn(sumo ringer, sumo wrestler)","isa_wn(sumo ringer, sumo wrestler)","isa_wn(sumo ringer, sumo wrestler)","isa_wn(sumo ringer, sumo wrestler)",Stefan_KB,"(sumo ringer, sumo wrestler)"
51145797.jpg#4r1e,google/gemma-3-4b-it,2,Two people are in a green forest.,The forest is not dead.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
5149,google/gemma-3-4b-it,2,A lemur is hanging on a cord,A lemur is hanging on a rope,,"isa_wn(cord, rope)","isa_wn(cord, rope)","isa_wn(cord, rope)","isa_wn(cord, rope)","isa_wn(cord, rope)",Lasha_KB,"(cord, rope)"
5198,google/gemma-3-4b-it,2,A boy is saying a word,A child is talking,,"isa_wn(boy, child); isa_wn(saying, talking)","isa_wn(boy, child); isa_wn(saying, talking); isa_wn(say, talk)","isa_wn(boy, child); isa_wn(say, talk)","isa_wn(boy, child); isa_wn(say, talk)","isa_wn(boy, child); isa_wn(saying, talking); isa_wn(say, talk)",Stefan_KB,"(boy, child); (say, talk)"
5217397101.jpg#3r1e,google/gemma-3-4b-it,2,A nun is taking a picture outside.,A woman is outside,,"isa_wn(nun, woman)","isa_wn(nun, woman)","isa_wn(nun, woman)","isa_wn(nun, woman)","isa_wn(nun, woman)",Lasha_KB,"(nun, woman)"
5218695756.jpg#0r1e,google/gemma-3-4b-it,2,"A worker in a striped orange, gray, and white t-shirt hovers over a stand that is displaying different kinds of flat bread.",A worker stands over a bread display.,,"isa_wn(worker, person); isa_wn(hover, stand); isa_wn(stand, display); isa_wn(bread, food)","isa_wn(worker, person); isa_wn(hover, stand); isa_wn(stand, display); isa_wn(bread, food)","isa_wn(worker, person); isa_wn(hover, stand); isa_wn(stand, display); isa_wn(bread, food)","isa_wn(worker, person); isa_wn(hover, stand); isa_wn(stand, display); isa_wn(bread, food)","isa_wn(worker, person); isa_wn(hover, stand); isa_wn(stand, display); isa_wn(bread, food)",Lasha_KB,"(stand, display)"
5230,google/gemma-3-4b-it,2,A tiger is walking around,A tiger is strolling around,,"isa_wn(walking, strolling)","isa_wn(walking, strolling); isa_wn(walk, stroll)","isa_wn(walk, stroll)","isa_wn(walk, stroll)","isa_wn(walking, strolling); isa_wn(walk, stroll)",Stefan_KB,"(walk around, stroll around)"
5262731925.jpg#3r1e,google/gemma-3-4b-it,2,One man watching another man operate heavy machinery doing road construction.,A man watches another do construction work.,,"isa_wn(man, person); isa_wn(watch, observe); isa_wn(construction work, work)","isa_wn(man, person); isa_wn(watch, observe); isa_wn(construction work, work)","isa_wn(man, person); isa_wn(watch, observe); isa_wn(construction work, work)","isa_wn(man, person); isa_wn(watch, observe); isa_wn(construction work, work)","isa_wn(man, person); isa_wn(watch, observe); isa_wn(construction work, work)",Lasha_KB,"(road construction, construction work)"
5266194002.jpg#0r1e,google/gemma-3-4b-it,2,A man in a blue t-shirt is watching two women sitting at a table in the kitchen baking.,A man watches two women cook,,"isa_wn(watching, observe); isa_wn(man, person); isa_wn(women, person); isa_wn(cook, prepare food)","isa_wn(watching, observe); isa_wn(man, person); isa_wn(women, person); isa_wn(cook, prepare food); isa_wn(watch, observe)","isa_wn(watch, observe); isa_wn(man, person); isa_wn(women, person); isa_wn(cook, prepare food)","isa_wn(watch, observe); isa_wn(man, person); isa_wn(woman, person); isa_wn(cook, prepare food)","isa_wn(watching, observe); isa_wn(man, person); isa_wn(women, person); isa_wn(cook, prepare food); isa_wn(watch, observe); isa_wn(woman, person)",Stefan_KB,"(bake, cook)"
5280521648.jpg#0r1e,google/gemma-3-4b-it,2,A young man and a young women in white lab coats are reading a biology textbook together and looking at a microscope in a laboratory.,Two people are referencing a textbook in a laboratory.,,"isa_wn(young man, person); isa_wn(young woman, person); isa_wn(textbook, reference material); isa_wn(laboratory, place)","isa_wn(young man, person); isa_wn(young woman, person); isa_wn(textbook, reference material); isa_wn(laboratory, place)","isa_wn(young man, person); isa_wn(young woman, person); isa_wn(textbook, reference material); isa_wn(laboratory, place)","isa_wn(young man, person); isa_wn(young woman, person); isa_wn(textbook, reference material); isa_wn(laboratory, place)","isa_wn(young man, person); isa_wn(young woman, person); isa_wn(textbook, reference material); isa_wn(laboratory, place)",Lasha_KB,NO_RELATION
530661899.jpg#2r1e,google/gemma-3-4b-it,2,A man and women walk atop a hill.,A man and woman are walking.,,"isa_wn(walk, move); isa_wn(man, person); isa_wn(woman, person)","isa_wn(walk, move); isa_wn(man, person); isa_wn(woman, person)","isa_wn(walk, move); isa_wn(man, person); isa_wn(woman, person)","isa_wn(walk, move); isa_wn(man, person); isa_wn(woman, person)","isa_wn(walk, move); isa_wn(man, person); isa_wn(woman, person)",Stefan_KB,NO_RELATION
533601247.jpg#2r1e,google/gemma-3-4b-it,2,A boy in sandals is looking at a camera in a busy street.,"A boy is in a busy street, wearing sandals, looking at a camera",,"isa_wn(boy, person); isa_wn(sandals, footwear); isa_wn(busy street, street)","isa_wn(boy, person); isa_wn(sandals, footwear); isa_wn(busy street, street)","isa_wn(boy, person); isa_wn(sandals, footwear); isa_wn(busy street, street)","isa_wn(boy, person); isa_wn(sandal, footwear); isa_wn(busy street, street)","isa_wn(boy, person); isa_wn(sandals, footwear); isa_wn(busy street, street); isa_wn(sandal, footwear)",Stefan_KB,NO_RELATION
5430568615.jpg#4r1e,google/gemma-3-4b-it,2,A crowd of people are watching hot air balloons inflate.,People watching hot air balloons inflating.,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'DeepInfra', 'is_byok': False}}, 'user_id': 'user_3DJcr3ZZaL9xi8mpfloalQOMBG9'}",,,,,,,
5435,google/gemma-3-4b-it,2,Two baby pandas are playing,Two cubs are playing,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'DeepInfra', 'is_byok': False}}, 'user_id': 'user_3DJcr3ZZaL9xi8mpfloalQOMBG9'}",,,,,,,
5436986554.jpg#1r1e,google/gemma-3-4b-it,2,Military men dressed in camouflage and white aim there weapons while out in the snowy weather.,men have weapons,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'DeepInfra', 'is_byok': False}}, 'user_id': 'user_3DJcr3ZZaL9xi8mpfloalQOMBG9'}",,,,,,,
5462,google/gemma-3-4b-it,2,A boy is mowing the lawn,A guy is mowing the lawn,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'DeepInfra', 'is_byok': False}}, 'user_id': 'user_3DJcr3ZZaL9xi8mpfloalQOMBG9'}",,,,,,,
5498,google/gemma-3-4b-it,2,A woman is cutting a lemon,A woman is cutting fruit,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'DeepInfra', 'is_byok': False}}, 'user_id': 'user_3DJcr3ZZaL9xi8mpfloalQOMBG9'}",,,,,,,
552863655.jpg#3r1e,google/gemma-3-4b-it,2,A young boy kissing an old man on the forehead.,There is a boy showing affection to an old man.,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'DeepInfra', 'is_byok': False}}, 'user_id': 'user_3DJcr3ZZaL9xi8mpfloalQOMBG9'}",,,,,,,
5554,google/gemma-3-4b-it,2,The man is aiming a gun,The man is handling a gun,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'DeepInfra', 'is_byok': False}}, 'user_id': 'user_3DJcr3ZZaL9xi8mpfloalQOMBG9'}",,,,,,,
5555,google/gemma-3-4b-it,2,The man is aiming a gun,The man is drawing a gun,,"isa_wn(aiming, drawing)","isa_wn(aiming, drawing); isa_wn(aim, draw)","isa_wn(aim, draw)","isa_wn(aim, draw)","isa_wn(aiming, drawing); isa_wn(aim, draw)",Stefan_KB,NO_RELATION
562928217.jpg#4r1e,google/gemma-3-4b-it,2,A black and a white dog are going after a tennis ball.,The dogs are chasing a ball.,,"isa_wn(going after, chasing); isa_wn(dog, animal)","isa_wn(going after, chasing); isa_wn(dog, animal); isa_wn(go after, chase)","isa_wn(go after, chase); isa_wn(dog, animal)","isa_wn(go after, chase); isa_wn(dog, animal)","isa_wn(going after, chasing); isa_wn(dog, animal); isa_wn(go after, chase)",Lasha_KB,"(go after, chase)"
5728602543.jpg#4r1e,google/gemma-3-4b-it,2,Two young girls looking at Barbie dolls.,Two girls are watching dolls.,,"isa_wn(young girl, girl); isa_wn(looking at, watching)","isa_wn(young girl, girl); isa_wn(looking at, watching); isa_wn(look at, watch)","isa_wn(young girl, girl); isa_wn(look at, watch)","isa_wn(young girl, girl); isa_wn(look at, watch)","isa_wn(young girl, girl); isa_wn(looking at, watching); isa_wn(look at, watch)",Lasha_KB,"(look, watch)"
5770115416.jpg#3r1e,google/gemma-3-4b-it,2,Elderly man painting a picture with a small paintbrush.,An old man is creating art.,,"isa_wn(elderly man, old man); isa_wn(painting, creating art)","isa_wn(elderly man, old man); isa_wn(painting, creating art); isa_wn(paint, create art)","isa_wn(elderly man, old man); isa_wn(paint, create art)","isa_wn(elderly man, old man); isa_wn(paint, create art)","isa_wn(elderly man, old man); isa_wn(painting, creating art); isa_wn(paint, create art)",Stefan_KB,"(elderly, old); (paint, creat); (picture, art)"
5791070.jpg#3r1e,google/gemma-3-4b-it,2,"Interior of the restaurant chain: Planet Hollywood, various movie memorabilia decorate the space.",The inside of a restaurant.,,"isa_wn(interior, inside)","isa_wn(interior, inside)","isa_wn(interior, inside)","isa_wn(interior, inside)","isa_wn(interior, inside)",Stefan_KB,"(interior, inside)"
5806,google/gemma-3-4b-it,2,A man is rowing a canoe,A man is rowing a boat,,"isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)","isa_wn(canoe, boat)",Lasha_KB,"(canoe, boat)"
5871026012.jpg#3r1e,google/gemma-3-4b-it,2,A golfer has just finished swinging his club.,a human outside,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Lasha_KB,"(golfer, human)"
5938,google/gemma-3-4b-it,2,Vegetables are being put into a pot by a man,Someone is pouring ingredients into a pot,,"isa_wn(man, someone); isa_wn(put into, pour); isa_wn(pot, pot)","isa_wn(man, someone); isa_wn(put into, pour); isa_wn(pot, pot)","isa_wn(man, someone); isa_wn(put into, pour); isa_wn(pot, pot)","isa_wn(man, someone); isa_wn(put into, pour); isa_wn(pot, pot)","isa_wn(man, someone); isa_wn(put into, pour); isa_wn(pot, pot)",Alternative_KB,"(vegetable, ingredient); (man, someone)"
6065,google/gemma-3-4b-it,2,A person in a blue jacket is jumping off of a tall cement wall,A person in a blue colored jacket is jumping off of a tall cement wall,,"isa_wn(blue jacket, blue colored jacket); isa_wn(tall, tall); isa_wn(cement wall, wall)","isa_wn(blue jacket, blue colored jacket); isa_wn(tall, tall); isa_wn(cement wall, wall); isa_wn(blue jacket, blue color jacket)","isa_wn(blue jacket, blue color jacket); isa_wn(tall, tall); isa_wn(cement wall, wall)","isa_wn(blue jacket, blue color jacket); isa_wn(tall, tall); isa_wn(cement wall, wall)","isa_wn(blue jacket, blue colored jacket); isa_wn(tall, tall); isa_wn(cement wall, wall); isa_wn(blue jacket, blue color jacket)",Lasha_KB,"(blue jacket, blue colored jacket)"
6167481552.jpg#3r1e,google/gemma-3-4b-it,2,A football team getting ready for the coin toss in a half empty stadium.,The stadium is not full.,,"isa_wn(full, not full)","isa_wn(full, not full)","isa_wn(full, not full)","isa_wn(full, not full)","isa_wn(full, not full)",Stefan_KB,"(half empty, not full)"
6167481552.jpg#3r1n,google/gemma-3-4b-it,2,A football team getting ready for the coin toss in a half empty stadium.,There is a game about to be played.,,"isa_wn(football team, game)","isa_wn(football team, game)","isa_wn(football team, game)","isa_wn(football team, game)","isa_wn(football team, game)",Stefan_KB,NO_RELATION
6214,google/gemma-3-4b-it,2,A man is on a ship in front of the sunset,A man is on a boat in front of the sunset,,"isa_wn(ship, boat)","isa_wn(ship, boat)","isa_wn(ship, boat)","isa_wn(ship, boat)","isa_wn(ship, boat)",Stefan_KB,"(ship, boat)"
6220789654.jpg#3r1e,google/gemma-3-4b-it,2,A woman closes her eyes as she plays her cello.,A woman is making music.,,"isa_wn(play, make music)","isa_wn(play, make music)","isa_wn(play, make music)","isa_wn(play, make music)","isa_wn(play, make music)",Lasha_KB,NO_RELATION
6285562381.jpg#2r1e,google/gemma-3-4b-it,2,A man and a woman hug on a grassy hillside overlooking the countryside in the distance.,The man and woman are outdoors.,,"isa_wn(man and woman, man); isa_wn(hug, outdoor activity); isa_wn(grassy hillside, outdoors); isa_wn(overlooking the countryside, outdoors); isa_wn(distance, outdoors)","isa_wn(man and woman, man); isa_wn(hug, outdoor activity); isa_wn(grassy hillside, outdoors); isa_wn(overlooking the countryside, outdoors); isa_wn(distance, outdoors); isa_wn(overlook the countryside, outdoors)","isa_wn(man and woman, man); isa_wn(hug, outdoor activity); isa_wn(grassy hillside, outdoors); isa_wn(overlook the countryside, outdoors); isa_wn(distance, outdoors)","isa_wn(man and woman, man); isa_wn(hug, outdoor activity); isa_wn(grassy hillside, outdoors); isa_wn(overlook the countryside, outdoors); isa_wn(distance, outdoors)","isa_wn(man and woman, man); isa_wn(hug, outdoor activity); isa_wn(grassy hillside, outdoors); isa_wn(overlooking the countryside, outdoors); isa_wn(distance, outdoors); isa_wn(overlook the countryside, outdoors)",Stefan_KB,"(hillside, outdoors)"
6326513189.jpg#3r1e,google/gemma-3-4b-it,2,One of the hockey players just tried to score,There are a bunch of people on the ice.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,NO_RELATION
